code,system
C390.00,readv2
C390z00,readv2
C390.11,readv2
C390000,readv2
C390511,readv2
C390600,readv2
C390800,readv2
C390900,readv2
C390A11,readv2
C392111,readv2
C390100,readv2
C390200,readv2
C390300,readv2
C390400,readv2
C390500,readv2
C390512,readv2
C390700,readv2
C398.00,readv2
Cyu0400,readv2
C390A00,readv2
C391.00,readv2
C391011,readv2
C391012,readv2
C391200,readv2
C391211,readv2
C392600,readv2
C392700,readv2
C395.00,readv2
103977.0,med
106788.0,med
10955.0,med
15137.0,med
16295.0,med
18700.0,med
18701.0,med
21975.0,med
3129.0,med
31322.0,med
31541.0,med
35682.0,med
39800.0,med
42439.0,med
43653.0,med
44147.0,med
48035.0,med
48293.0,med
48307.0,med
49542.0,med
50526.0,med
50665.0,med
54203.0,med
54904.0,med
56108.0,med
57161.0,med
57322.0,med
60026.0,med
60758.0,med
60880.0,med
62236.0,med
62328.0,med
62598.0,med
65603.0,med
65617.0,med
66073.0,med
66386.0,med
66857.0,med
68440.0,med
69184.0,med
69373.0,med
69854.0,med
72804.0,med
73131.0,med
8548.0,med
92569.0,med
93892.0,med
93936.0,med
94120.0,med
C390B00,readv2
C396.00,readv2
C39y000,readv2
Cyu0000,readv2
C390y00,readv2
C393.00,readv2
C39X.00,readv2
Cyu0500,readv2
C391000,readv2
C398200,readv2
C391100,readv2
C392.00,readv2
C392z00,readv2
C392100,readv2
C392300,readv2
C392400,readv2
C392500,readv2
C392800,readv2
C392900,readv2
C397.00,readv2
C398000,readv2
D80,icd10
D84.0,icd10
D81,icd10
D83,icd10
D84.9,icd10
D82,icd10
D84.8,icd10
